Time,Horizontal,Vertical,Series
6,-0.45725566572820986,0.005417678382041824,4
7,-0.13558505663929998,0.2107573027677884,4
8,-0.5771199086837304,0.2566916877864296,4
9,-0.2936213785866255,0.34022389810143167,4
10,-0.02375185131214469,-0.11575070326293779,4
11,3.5642543835773255e-4,-0.1007360066185613,4
12,0.15445967717644504,-0.07985905618600148,4
13,-0.44955857020275963,-0.5913094590787691,4
14,-0.530247273921566,-0.4605223414170077,4
15,-0.29792880833470514,-0.2678481447160182,4
16,-0.13462791945212282,0.12652889776318493,4
17,-0.10712377204943258,-0.16819036414164124,4
18,0.07345239432489903,0.05672728446207842,4
19,0.14974579326609339,0.29608482620083215,4
20,0,0,4
1,0,0,5
2,-0.15711644075490433,-0.23091199753784253,5
3,0.09514171053639411,0.11969252471202865,5
4,0.20966374018490208,0.5765956503077226,5
5,0.3178249885547525,0.5364055264425245,5
6,0.814384422838772,0.6216922875929494,5
7,0.9561861804076425,0.7945228355524976,5
8,0.5957129652940117,0.5310871186057786,5
9,0.5764574901987809,0.1955182053818894,5
10,0.576940312344153,0.02383640325284886,5
11,0.455017116399556,-0.34850130439113647,5
12,0.5245995650726741,-0.14678035322829108,5
13,0.4171756984653197,0.07709032998528498,5
14,0.4634731552214829,0.18902766919055647,5
15,0.6635183325541001,0.6145675931528101,5
16,0.5203816775584369,0.41358407642509787,5
17,0.1495524074896748,0.3049524679389526,5
18,0.11038175867062383,0.2481616105248392,5
19,-0.23836316867687352,0.1626822947040263,5
20,0,0,5
1,0,0,6
2,-0.31182172387171475,-0.13408418701481584,6
3,-0.15983808416290235,0.06286382656936466,6
4,0.07756278390093824,0.1304220148611789,6
5,0.34174117731715153,0.21141669889879838,6
6,0.71546737005727,0.23492466309421528,6
7,0.6237688712003203,-0.2353666588361698,6
8,0.6749709242098894,-0.3308057821478462,6
9,0.6053509536205549,-0.1354737941315636,6
10,0.5335780650430257,-0.003514521193440895,6
11,0.2922503373454111,0.12743236608885372,6
12,0.18590589569847737,0.047728429428888094,6
13,0.2143485732390129,0.09933013250416786,6
14,0.266365668729935,0.08459010287483244,6
15,0.36624139609970413,0.1991728500450148,6
16,0.37131657068851126,0.018513986041962666,6
17,0.3664594026474589,-0.2358962806847222,6
18,0.35681417435873863,-0.14095853339978776,6
19,0.020006873451329982,-0.2134270732526405,6
20,0,0,6
1,0,0,7
2,-0.45890853521125796,-0.1252684044430964,7
3,-0.8704745725466563,-0.4121892433490064,7
4,-0.6633363705153545,-0.7404367291680294,7
5,-0.8308996912778399,-0.8416862553826713,7
6,-1.2128481560610072,-0.4979687053407052,7
7,-1.0104040752431827,-0.6251499769704228,7
8,-0.7301010750955792,-0.9030175423255613,7
9,-0.6269664217714928,-0.7718422282684163,7
10,-0.8699322505940594,-0.6912624876370306,7
11,-1.286724169100106,-0.6693079550241187,7
12,-1.0948752038279292,-0.5763996592007739,7
13,-0.48471213625291787,-0.44504220918076187,7
14,-0.4041765796221886,-0.3639420747693606,7
15,-0.4075022736300973,-0.24640466165533015,7
16,-0.045162344684828604,-0.36056821275752554,7
17,0.07169607605680062,-0.6153472116720967,7
18,-0.028085805629673555,-0.5708173390308966,7
19,0.056099759950702266,-0.341799291536978,7
20,0,0,7
1,0,0,8
2,-0.07768706123630507,-0.2263534055696847,8
3,-0.32664384288191634,0.024042488655979785,8
4,0.03789732467753348,0.3130097127913285,8
5,0.04757595062398943,0.5695249809560454,8
6,0.02661129715426213,0.24323709133557886,8
7,0.35126740473687323,-0.17854988207635406,8
8,0.3018126649518453,0.0706435155148378,8
9,0.3550106218832245,0.09041804633130393,8
10,0.15866444847187952,0.3017382995787126,8
11,0.3800180268553821,0.35400893676483447,8
12,0.3576871851187857,-0.3241476863685997,8
13,0.8292353520410011,0.06772057340440019,8
14,0.40163053912150626,-0.09476266339942363,8
15,0.3750014777004221,-0.32757287003012847,8
16,0.2557376791073754,-0.2665481280865851,8
17,0.220121051798714,-0.30919935261489956,8
18,0.14576380766662883,-0.6151324683759107,8
19,-0.11805417828595074,-0.5310592062895533,8
20,0,0,8
